SHOT_ID,HUMAN PLAYER POSITION (X) metres,HUMAN PLAYER POSITION (Y) metres,INITITAL VELOCITY OF SHUTTELCOCK(m/s),INITIAL SHUTTELCOCK FIRING ANGLE (DEGREE),SHUTTELCOCK SLANT ANGLE TO SIDELINE(DEGREE),SHUTTLECOCK POSITIION IN AIR(X ) metres,SHUTTLECOCK POSITIION IN AIR(Y) metres,SHUTTLECOCK POSITIION IN AIR(Z) metres
25900035,4,1,70,70,8,9.218961907,1.733477263,2.588701261
25900036,4,1,70,70,8,9.275435982,1.741414176,2.040516877
25900037,4,1,70,70,8,9.327013877,1.748662977,1.468104726
25900038,4,1,70,70,8,9.37239449,1.755040806,0.861757872
25900039,4,1,70,70,8,9.413916314,1.760876318,0.230286569
26000001,4,1,70,70,9,4.23697879,1.037533753,2.238664276
26000002,4,1,70,70,9,4.467867249,1.074102892,2.835684314
26000003,4,1,70,70,9,4.694248288,1.109958126,3.395294734
26000004,4,1,70,70,9,4.915858651,1.14505776,3.914629749
26000005,4,1,70,70,9,5.132913759,1.179435912,4.398607908
26000006,4,1,70,70,9,5.341992393,1.212550714,4.841102503
26000007,4,1,70,70,9,5.550676381,1.245603011,5.246504163
26000008,4,1,70,70,9,5.749163094,1.277040218,5.612562954
26000009,4,1,70,70,9,5.947511475,1.308455515,5.944287369
26000010,4,1,70,70,9,6.135722857,1.338265269,6.236942253
26000011,4,1,70,70,9,6.320801115,1.367578786,6.497336163
26000012,4,1,70,70,9,6.502737887,1.39639474,6.717963849
26000013,4,1,70,70,9,6.677432435,1.424063638,6.905215845
26000014,4,1,70,70,9,6.845997201,1.450761674,7.053364926
26000015,4,1,70,70,9,7.011868243,1.477033066,7.168821865
26000016,4,1,70,70,9,7.170125466,1.502098548,7.247353199
26000017,4,1,70,70,9,7.324190856,1.526500108,7.295836449
26000018,4,1,70,70,9,7.47315276,1.550093356,7.304643182
26000019,4,1,70,70,9,7.617707417,1.572988565,7.284624474
26000020,4,1,70,70,9,7.756357636,1.594948602,7.228310806
26000021,4,1,70,70,9,7.891002455,1.616274246,7.137779906
26000022,4,1,70,70,9,8.020139406,1.63672753,7.018162905
26000023,4,1,70,70,9,8.141768978,1.655991762,6.861315376
26000024,4,1,70,70,9,8.260000218,1.67471775,6.675377636
26000025,4,1,70,70,9,8.371752095,1.692417509,6.457187234
26000026,4,1,70,70,9,8.480469624,1.709636674,6.205375357
26000027,4,1,70,70,9,8.584441974,1.726104276,5.924242699
26000028,4,1,70,70,9,8.681594708,1.741491758,5.612704389
26000029,4,1,70,70,9,8.771369049,1.755710616,5.271610984
26000030,4,1,70,70,9,8.85998792,1.769746467,4.897335969
26000031,4,1,70,70,9,8.94255375,1.782823609,4.494994046
26000032,4,1,70,70,9,9.020463995,1.79516338,4.062939204
26000033,4,1,70,70,9,9.092678533,1.806601039,3.600567937
26000034,4,1,70,70,9,9.158431126,1.817015227,3.110182735
26000035,4,1,70,70,9,9.220513651,1.826848133,2.589284936
26000036,4,1,70,70,9,9.27680991,1.835764584,2.040473343
26000037,4,1,70,70,9,9.327120122,1.843732939,1.465271357
26000038,4,1,70,70,9,9.373789197,1.851124594,0.861542224
26000039,4,1,70,70,9,9.41428593,1.857538647,0.231029014
26100001,4,1,70,70,10,4.23682651,1.041758903,2.236283982
26100002,4,1,70,70,10,4.470092918,1.082890065,2.836112206
26100003,4,1,70,70,10,4.694290775,1.122422196,3.395325588
26100004,4,1,70,70,10,4.916286732,1.161566073,3.914788663
26100005,4,1,70,70,10,5.132272865,1.199650256,4.395319793
26100006,4,1,70,70,10,5.343213677,1.236844812,4.83987364
26100007,4,1,70,70,10,5.548527259,1.273047136,5.246145138
26100008,4,1,70,70,10,5.750904419,1.30873169,5.613616351
26100009,4,1,70,70,10,5.94560308,1.343062317,5.945032685
26100010,4,1,70,70,10,6.137135824,1.376834707,6.239991811
26100011,4,1,70,70,10,6.322305834,1.409485176,6.496989848
26100012,4,1,70,70,10,6.503251109,1.44139071,6.717423967
26100013,4,1,70,70,10,6.676624188,1.471961062,6.904057413
26100014,4,1,70,70,10,6.845457668,1.501730959,7.053209478
26100015,4,1,70,70,10,7.009773113,1.530704206,7.168983399
